Year,First Name,Sex,Count
2013,FRANCISCO,M,26
2013,FRANK,M,56
2013,FREDERICK,M,6
2013,FRIMET,F,12
2013,GABRIEL,M,549
2013,GABRIELA,F,92
2013,GABRIELLA,F,461
2013,GABRIELLE,F,77
2013,GAEL,M,69
2013,GAGE,M,5
2013,GARRETT,M,10
2013,GAVIN,M,411
2013,GAVRIEL,M,11
2013,GEMMA,F,20
2013,GENESIS,F,227
2013,GENEVIEVE,F,25
2013,GEORGE,M,131
2013,GEORGIA,F,21
2013,GERARD,M,6
2013,GIA,F,76
2013,GIANA,F,6
2013,GIANLUCA,M,7
2013,GIANNA,F,371
2013,GIANNI,M,18
2013,GIAVANNA,F,27
2013,GINO,M,5
2013,GIOVANNA,F,14
2013,GIOVANNI,M,204
2013,GISELLE,F,57
2013,GITTEL,F,16
2013,GITTY,F,96
2013,GIULIANA,F,100
2013,GIUSEPPE,M,6
2013,GLORIA,F,5
2013,GOLDA,F,10
2013,GOLDY,F,40
2013,GRACE,F,448
2013,GRAHAM,M,16
2013,GRANT,M,24
2013,GRAYSON,M,115
2013,GREGORY,M,23
2013,GREYSON,M,55
2013,GRIFFIN,M,20
2013,GUADALUPE,F,7
2013,HADASSAH,F,13
2013,HADLEY,F,17
2013,HAILEY,F,328
2013,HALEY,F,6
2013,HAMZA,M,12
2013,HANNA,F,31
2013,HANNAH,F,352
2013,HARMONY,F,19
2013,HARPER,F,175
2013,HARRISON,M,87
2013,HARRY,M,14
2013,HAWA,F,12
2013,HAYDEN,M,44
2013,HAYDEN,F,11
2013,HAYLEE,F,6
2013,HAYLEY,F,5
2013,HAZEL,F,36
2013,HEAVEN,F,30
2013,HECTOR,M,20
2013,HEIDI,F,10
2013,HELEN,F,30
2013,HELENA,F,17
2013,HENNY,F,34
2013,HENRY,M,411
2013,HERSH,M,14
2013,HERSHEL,M,23
2013,HERSHY,M,32
2013,HINDA,F,10
2013,HINDY,F,56
2013,HOLLY,F,5
2013,HOPE,F,11
2013,HUDSON,M,112
2013,HUGO,M,15
2013,HUNTER,M,363
2013,IAN,M,265
2013,IBRAHIM,M,95
2013,IDY,F,11
2013,IKER,M,40
2013,IMANI,F,13
2013,IRENE,F,10
2013,IRIS,F,50
2013,ISAAC,M,389
2013,ISABEL,F,109
2013,ISABELLA,F,1198
2013,ISABELLE,F,103
2013,ISAIAH,M,237
2013,ISLA,F,56
2013,ISMAEL,M,27
2013,ISRAEL,M,73
2013,ISSAC,M,5
2013,IVAN,M,115
2013,IVY,F,52
2013,IZABELLA,F,17
2013,JACE,M,212
2013,JACK,M,576
2013,JACKSON,M,504
2013,JACOB,M,1217
2013,JACQUELINE,F,58
2013,JADA,F,43
2013,JADE,F,100
2013,JADEN,M,182
2013,JADIEL,M,36
2013,JAEL,M,10
2013,JAELYN,F,5
2013,JAIDEN,M,52
2013,JAKE,M,250
2013,JALIYAH,F,11
2013,JAMAL,M,10
2013,JAMES,M,806
2013,JAMESON,M,36
2013,JAMIE,F,8
2013,JANE,F,30
2013,JANELLE,F,12
2013,JANESSA,F,6
2013,JANIYAH,F,10
2013,JARED,M,56
2013,JARIEL,M,11
2013,JASE,M,36
2013,JASIAH,M,17
2013,JASMINE,F,133
2013,JASON,M,397
2013,JASPER,M,18
2013,JAVIER,M,36
2013,JAX,M,10
2013,JAXON,M,132
2013,JAXSON,M,80
2013,JAYCE,M,50
2013,JAYCEON,M,41
2013,JAYDA,F,11
2013,JAYDEN,M,1090
2013,JAYLA,F,70
2013,JAYLAH,F,10
2013,JAYLEEN,F,33
2013,JAYLEN,M,23
2013,JAYSON,M,29
2013,JAZMIN,F,10
2013,JEFFERSON,M,11
2013,JEFFREY,M,66
2013,JENNA,F,62
2013,JENNIFER,F,93
2013,JENNY,F,26
2013,JEREMIAH,M,324
2013,JEREMY,M,235
2013,JERRY,M,15
2013,JESSE,M,49
2013,JESSICA,F,97
2013,JESUS,M,73
2013,JILLIAN,F,13
2013,JIMMY,M,10
2013,JOANNA,F,45
2013,JOAQUIN,M,10
2013,JOCELYN,F,96
2013,JOEL,M,192
2013,JOHAN,M,34
2013,JOHN,M,656
2013,JOHNATHAN,M,5
2013,JOHNNY,M,25
2013,JOLIE,F,11
2013,JONAH,M,109
2013,JONATHAN,M,477
2013,JORDAN,F,8
2013,JORDAN,M,303
2013,JORDI,M,10
2013,JORDY,M,5
2013,JORDYN,F,42
2013,JORGE,M,39
2013,JOSE,M,183
2013,JOSEPH,M,1065
2013,JOSEPHINE,F,63
2013,JOSHUA,M,691
2013,JOSIAH,M,271
2013,JOSUE,M,66
2013,JOURNEY,F,6
2013,JOY,F,31
2013,JOYCE,F,23
2013,JUAN,M,86
2013,JUDAH,M,21
2013,JUDE,M,26
2013,JUDY,F,16
2013,JULIA,F,270
2013,JULIAN,M,365
2013,JULIANA,F,116
2013,JULIANNA,F,98
2013,JULIANNE,F,5
2013,JULIE,F,6
2013,JULIEN,M,10
2013,JULIET,F,86
2013,JULIETTE,F,74
2013,JULIO,M,15
2013,JULISSA,F,7
2013,JULIUS,M,28
2013,JUNE,F,13
2013,JUNIOR,M,5
2013,JUSTICE,M,11
2013,JUSTIN,M,536
2013,KADEN,M,44
2013,KAI,M,74
2013,KAIDEN,M,136
2013,KAITLYN,F,118
2013,KALEB,M,24
2013,KAMILA,F,22
2013,KARA,F,12
2013,KAREEM,M,10
2013,KAREN,F,43
2013,KARINA,F,39
2013,KARTER,M,11
2013,KATE,F,46
2013,KATELYN,F,44
2013,KATHERINE,F,180
2013,KATHLEEN,F,12
2013,KATHRYN,F,7
2013,KATIE,F,47
2013,KAYDEN,M,169
2013,KAYLA,F,269
2013,KAYLEE,F,241
2013,KAYLEIGH,F,6
2013,KAYLIN,F,22
2013,KEEGAN,M,16
2013,KEIRA,F,50
2013,KEITH,M,5
2013,KELLY,F,52
2013,KENDALL,F,45
2013,KENDRA,F,10
2013,KENNEDY,F,62
2013,KENNETH,M,66
2013,KENNY,M,15
2013,KENZIE,F,6
2013,KEVIN,M,394
2013,KEYLA,F,5
2013,KHLOE,F,118
2013,KIARA,F,90
2013,KIERAN,M,25
2013,KIMBERLY,F,141
2013,KING,M,116
2013,KINGSLEY,M,14
2013,KINGSTON,M,5
2013,KRISTEN,F,5
2013,KYLA,F,7
2013,KYLE,M,135
2013,KYLEE,F,12
2013,KYLEIGH,F,5
2013,KYLIE,F,191
2013,LAILA,F,103
2013,LANDON,M,207
2013,LAURA,F,11
2013,LAUREN,F,119
2013,LAWRENCE,M,19
2013,LAYLA,F,265
2013,LAZER,M,15
2013,LEA,F,14
2013,LEAH,F,553
2013,LEILA,F,97
2013,LEILANI,F,44
2013,LENA,F,57
2013,LENNY,M,10
2013,LEO,M,218
2013,LEON,M,50
2013,LEONARDO,M,137
2013,LESLIE,F,58
2013,LESLY,F,5
2013,LEVI,M,218
2013,LEXI,F,5
2013,LIA,F,88
2013,LIAM,M,1126
2013,LIANA,F,32
2013,LIBA,F,10
2013,LIBBY,F,38
2013,LILA,F,59
2013,LILAH,F,11
2013,LILIANA,F,91
2013,LILIANNA,F,5
2013,LILLIAN,F,217
2013,LILLIANA,F,20
2013,LILLY,F,35
2013,LILY,F,311
2013,LILYANA,F,10
2013,LINA,F,11
2013,LINCOLN,M,47
2013,LINDA,F,11
2013,LINDSAY,F,5
2013,LINDSEY,F,6
2013,LIPA,M,43
2013,LIV,F,12
2013,LIZBETH,F,11
2013,LOGAN,M,663
2013,LOLA,F,36
2013,LONDON,F,150
2013,LONDYN,F,7
2013,LORENZO,M,89
2013,LOUIS,M,77
2013,LOVE,F,5
2013,LUCA,M,201
2013,LUCAS,M,898
2013,LUCIA,F,50
2013,LUCIANA,F,6
2013,LUCIANO,M,12
2013,LUCIEN,M,11
2013,LUCY,F,113
2013,LUIS,M,163
2013,LUKA,M,15
2013,LUKAS,M,35
2013,LUKE,M,349
2013,LUNA,F,77
2013,LYDIA,F,41
2013,LYLA,F,37
2013,LYRIC,F,5
2013,MACKENZIE,F,170
2013,MADDOX,M,5
2013,MADELEINE,F,44
2013,MADELINE,F,142
2013,MADELYN,F,115
2013,MADISON,F,697
2013,MADISYN,F,11
2013,MAEVE,F,33
2013,MAGGIE,F,30
2013,MAKAYLA,F,121
2013,MAKENZIE,F,5
2013,MALACHI,M,50
2013,MALAK,F,11
2013,MALCOLM,M,18
2013,MALIA,F,30
2013,MALIK,M,14
2013,MALKA,F,92
2013,MALKY,F,82
2013,MAMADOU,M,16
2013,MANHA,F,10
2013,MANUEL,M,33
2013,MARC,M,5
2013,MARCELLO,M,5
2013,MARCO,M,61
2013,MARCOS,M,7
2013,MARCUS,M,102
2013,MARGARET,F,26
2013,MARGOT,F,11
2013,MARIA,F,145
2013,MARIAH,F,57
2013,MARIAM,F,62
2013,MARIAMA,F,13
2013,MARIANA,F,14
2013,MARIO,M,7
2013,MARK,M,92
2013,MARQUIS,M,5
2013,MARTIN,M,67
2013,MARY,F,66
2013,MARYAM,F,42
2013,MASON,M,1083
2013,MATEO,M,118
2013,MATHEW,M,17
2013,MATIAS,M,14
2013,MATILDA,F,12
2013,MATTEO,M,66
2013,MATTHEW,M,1036
2013,MAX,M,243
2013,MAXIM,M,14
2013,MAXIMILIAN,M,53
2013,MAXIMUS,M,53
2013,MAXWELL,M,176
2013,MAYA,F,275
2013,MAYER,M,30
2013,MCKAYLA,F,6
2013,MCKENNA,F,10
2013,MCKENZIE,F,44
2013,MEGAN,F,28
2013,MEILECH,M,14
2013,MEIR,M,42
2013,MEKHI,M,11
2013,MELANIE,F,180
2013,MELANY,F,26
2013,MELINA,F,10
2013,MELISSA,F,79
2013,MELODY,F,65
2013,MENACHEM,M,84
2013,MENASHE,M,10
2013,MENDEL,M,43
2013,MENDY,M,23
2013,MESSIAH,M,37
2013,MEYER,M,12
2013,MIA,F,929
2013,MICAH,M,79
2013,MICHAEL,M,1145
2013,MICHAELA,F,9
2013,MICHELLE,F,159
2013,MIGUEL,M,114
2013,MIKAEL,M,6
2013,MIKAELA,F,11
2013,MIKAYLA,F,37
2013,MILA,F,141
2013,MILAN,F,25
2013,MILAN,M,11
2013,MILANA,F,14
2013,MILANIA,F,16
2013,MILES,M,127
2013,MILO,M,21
2013,MINDY,F,29
2013,MIRACLE,F,5
2013,MIRANDA,F,27
2013,MIREL,F,15
2013,MIRI,F,11
2013,MIRIAM,F,197
2013,MOHAMED,M,84
2013,MOHAMMAD,M,68
2013,MOHAMMED,M,59
2013,MOISHE,M,17
2013,MOLLY,F,95
2013,MORDECHAI,M,96
2013,MORGAN,F,100
2013,MORRIS,M,12
2013,MOSES,M,32
2013,MOSHE,M,328
2013,MOUSSA,M,14
2013,MUHAMMAD,M,151
2013,MUSA,M,10
2013,MUSHKA,F,11
2013,MYA,F,112
2013,MYLA,F,5
2013,MYLES,M,25
2013,MYRA,F,6
2013,NACHMAN,M,17
2013,NADIA,F,16
2013,NAFTALI,M,22
2013,NAFTULI,M,11
2013,NANCY,F,5
2013,NAOMI,F,172
2013,NASIR,M,32
2013,NATALIA,F,100
2013,NATALIE,F,345
2013,NATASHA,F,6
2013,NATHALY,F,10
2013,NATHAN,M,449
2013,NATHANIEL,M,289
2013,NAYELI,F,11
2013,NECHAMA,F,20
2013,NECHUMA,F,5
2013,NEHEMIAH,M,11
2013,NELSON,M,21
2013,NEVAEH,F,111
2013,NIA,F,37
2013,NICHOLAS,M,764
2013,NICO,M,12
2013,NICOLAS,M,131
2013,NICOLE,F,238
2013,NICOLETTE,F,6
2013,NIKO,M,18
2013,NIKOLAS,M,10
2013,NINA,F,90
2013,NOA,F,22
2013,NOAH,M,1058
2013,NOEL,M,35
2013,NOELLE,F,29
2013,NOLAN,M,120
2013,NORA,F,143
2013,NORAH,F,13
2013,NYLA,F,78
2013,NYLAH,F,49
2013,OLIVE,F,10
2013,OLIVER,M,301
2013,OLIVIA,F,1178
2013,OMAR,M,107
2013,ORION,M,12
2013,OSCAR,M,122
2013,OUMOU,F,16
2013,OWEN,M,383
2013,PAIGE,F,104
2013,PAISLEY,F,11
2013,PARIS,F,36
2013,PARKER,M,183
2013,PATRICK,M,183
2013,PAUL,M,89
2013,PAYTON,F,48
2013,PEARL,F,33
2013,PEDRO,M,11
2013,PENELOPE,F,185
2013,PEREL,F,5
2013,PERL,F,13
2013,PESSY,F,40
2013,PETER,M,142
2013,PEYTON,F,150
2013,PEYTON,M,29
2013,PHILIP,M,50
2013,PHOEBE,F,40
2013,PHOENIX,F,10
2013,PINCHAS,M,11
2013,PINCHUS,M,6
2013,PIPER,F,38
2013,PRESTON,M,55
2013,PRINCE,M,57
2013,QUINN,F,87
2013,RACHEL,F,296
2013,RAEGAN,F,5
2013,RAFAEL,M,83
2013,RAIZEL,F,31
2013,RAIZY,F,83
2013,RANDY,M,41
2013,RAPHAEL,M,37
2013,RAYAN,M,23
2013,RAYMOND,M,65
2013,REAGAN,F,35
2013,REBECCA,F,105
2013,REED,M,10
2013,REESE,F,23
2013,REID,M,18
2013,RENEE,F,12
2013,RICARDO,M,39
2013,RICHARD,M,123
2013,RIFKY,F,12
2013,RILEY,F,209
2013,RILEY,M,73
2013,RIVKA,F,151
2013,RIVKY,F,71
2013,ROBERT,M,346
2013,ROCCO,M,22
2013,ROCHEL,F,47
2013,ROIZA,F,17
